PLAYER,TEAM,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,Player Efficiency Rating (PER),VA,EWA
Jerian Grant,CHI,44,16.2,0.548,21.4,10.4,16.4,1.6,8.9,5.2,11.91,9.7,0.3
Robert Covington,PHI,49,31.1,0.51,10.5,13.1,17.5,5,16.6,10.8,11.85,30.6,1
Troy Daniels,MEM,42,17.4,0.547,7,6.7,20.8,1.8,6.9,4.3,11.76,13.7,0.5
Anthony Tolliver,SAC,43,23.1,0.621,11.9,10.7,12.4,4.8,14.2,9.5,11.75,3.7,0.1
Austin Rivers,LAC,53,28.3,0.546,19,10,19.4,1.2,7,4.2,11.74,16.5,0.5
Rodney Stuckey,IND,23,19,0.531,17.3,12.5,21.9,1,12.8,7,11.72,4.7,0.2
Kyle Korver,ATL/CLE,49,27,0.624,16.5,10.5,14.3,0.6,10.8,5.8,11.62,22.2,0.7
Kyle Anderson,SA,50,13.1,0.519,24.8,12.4,11.3,3.4,18.1,11,11.62,11,0.4
Jamal Crawford,LAC,55,26.9,0.511,16.9,10.8,22.4,1,5.9,3.5,11.59,23.9,0.8
Courtney Lee,NY,51,31.2,0.561,17.5,6.3,13.4,2.6,8.4,5.5,11.58,25.5,0.9
Jared Dudley,PHX,39,20.7,0.619,19,12.8,13.7,2.6,15.5,8.8,11.57,12.9,0.4
Raymond Felton,LAC,53,22.8,0.505,23.4,9.7,17,2.6,11.8,7.3,11.52,9.3,0.3
Aron Baynes,DET,53,15.3,0.568,6.7,13.4,12.9,8.7,19.9,14.2,11.52,11.1,0.4
Omri Casspi,SAC,22,18,0.511,15.4,10,15.6,5.9,20.7,13.3,11.48,5.8,0.2
Jamal Murray,DEN,55,19.9,0.511,15.3,10.8,20.6,3.2,11.1,7.2,11.48,15.9,0.5
Dario Saric,PHI,55,24.3,0.496,12.3,13.2,21.5,6.1,20.3,13.2,11.45,-1,0
Rajon Rondo,CHI,46,26.4,0.414,38.8,14.4,19.1,3.6,18,10.6,11.44,8,0.3
Kent Bazemore,ATL,53,27.6,0.492,16.9,11,19.7,2.4,10.3,6.4,11.43,20.4,0.7
Ed Davis,POR,44,17.2,0.566,11.4,15.4,11,13.1,21,17,11.41,-1.1,0
Doug McDermott,CHI,42,24.2,0.554,9.7,7.1,16.9,1.5,11.8,6.5,11.38,13.4,0.4
Sergio Rodriguez,PHI,50,22.8,0.492,33,13.7,20.9,1.4,10.3,5.9,11.36,6,0.2
James Ennis,MEM,43,25.7,0.611,12.1,12.9,12.6,5.8,13.5,9.6,11.32,13.5,0.4
Langston Galloway,NO,54,20.5,0.508,11.8,5.1,18.2,1.9,9.7,5.7,11.3,13.3,0.4
Caris LeVert,BKN,31,20.3,0.537,19.1,11.2,15.5,1.9,12.8,7.4,11.28,7.3,0.2
Trey Lyles,UTAH,56,18.6,0.481,11.6,10.5,20.7,5,18.1,11.8,11.25,-3.9,-0.1
Garrett Temple,SAC,49,26.6,0.561,22.3,10.1,13.2,2.4,9.5,5.9,11.2,13.6,0.5
Jameer Nelson,DEN,55,26.1,0.538,32.4,11.7,17.6,1.6,8.5,5,11.15,3.1,0.1
Pascal Siakam,TOR,47,17,0.522,6.1,12.6,11.9,8.2,15.3,11.7,11.08,-5,-0.2
Terry Rozier,BOS,50,18,0.47,20.8,6.8,15.7,3.5,15.9,9.7,10.98,-0.2,0
Allen Crabbe,POR,55,28.5,0.596,11.8,7.6,14,1,9.9,5.4,10.95,10.5,0.3
Michael Carter-Williams,CHI,24,22,0.463,19.3,13.2,21.9,3.4,19.5,11.3,10.89,-0.9,0
Danny Green,SA,47,26.9,0.577,18.9,10.8,12.8,1.4,12,6.8,10.88,7.2,0.2
Jonathon Simmons,SA,51,18.1,0.522,18.8,11.9,17.3,1.8,12.2,7.2,10.85,4.7,0.2
P.J. Tucker,PHX,56,28.7,0.516,14.5,10.3,11,6.2,17.6,11.7,10.8,7.2,0.2
Spencer Dinwiddie,BKN,32,21.2,0.563,28,12.2,14.2,1.7,10.9,6.4,10.76,-2.4,-0.1
Iman Shumpert,CLE,49,25.4,0.572,16.5,10.7,13.1,2.6,10.2,6.5,10.69,3.5,0.1
Derrick Williams,CLE/MIA,27,15.5,0.493,7.5,8,12.1,4.2,15.3,9.7,10.68,-5.2,-0.2
Trey Burke,WSH,50,12.6,0.517,24.1,11,19.8,1.3,6.1,3.8,10.68,-3,-0.1
Marquese Chriss,PHX,56,18.7,0.497,6.9,11.7,18.4,6.4,14.2,10.2,10.62,-13.7,-0.5
Al-Farouq Aminu,POR,37,29.1,0.476,16.9,12.3,14.9,4.3,24,14,10.53,0.4,0
Patrick Patterson,TOR,40,27.3,0.522,15.8,7.8,12,4.8,17.8,11.3,10.52,-15.9,-0.5
Marcus Thornton,WSH,33,17.4,0.494,13.9,8.7,18,4.4,10.4,7.4,10.49,-0.1,0
Luol Deng,LAL,52,27.1,0.472,13.1,7.4,13.7,4.5,17.8,10.9,10.38,-2.6,-0.1
Shaun Livingston,GS,50,17.4,0.58,24.5,11.5,13.1,2.6,9.3,6.2,10.31,-8.9,-0.3
